time,energy,gps,odo,speed,soc
1511436338000,53.2,52.093448638916016|5.117378234863281,88526.413,0,72.8
1511436339000,53.2,52.093448638916016|5.117378234863281,88526.414,4,72.8
1511436340000,53.2,52.093448638916016|5.117378234863281,88526.415,6,72.8
1511436341000,53.2,52.093448638916016|5.117378234863281,88526.417,8,72.8
1511436342000,53.2,52.093448638916016|5.117378234863281,88526.42,10,72.8
1511436343000,53.2,52.08921432495117|5.106114864349365,88526.423,12,72.8
1511436344000,53.2,52.08921432495117|5.106114864349365,88526.426,13,72.8
1511436345000,53.2,52.0892448425293|5.106178283691406,88526.43,12,72.8
1511436346000,53.2,52.0892448425293|5.106178283691406,88526.433,11,72.8
1511436347000,53.2,52.0892448425293|5.106178283691406,88526.436,9,72.8
1511436348000,53.2,52.08928298950195|5.106295108795166,88526.438,9,72.8
1511436349000,53.2,52.089298248291016|5.1063385009765625,88526.44,7,72.8
1511436350000,53.2,52.089298248291016|5.1063385009765625,88526.442,6,72.8
1511436351000,53.2,52.08932876586914|5.106398105621338,88526.444,6,72.8
1511436352000,53.264,52.08934783935547|5.106414794921875,88526.445,3,72.8
1511436353000,53.264,52.0893669128418|5.10642147064209,88526.446,3,72.8
1511436354000,53.264,52.0893669128418|5.10642147064209,88526.447,3,72.8
1511436355000,53.264,52.08938980102539|5.1064300537109375,88526.447,2,72.8
1511436356000,53.264,52.08938980102539|5.1064300537109375,88526.447,0,72.8
1511436376000,53.264,52.08938980102539|5.1064300537109375,88526.448,1,72.8
1511436377000,53.272,52.08938980102539|5.1064300537109375,88526.448,4,72.8
1511436378000,53.272,52.08941650390625|5.106441497802734,88526.45,7,72.8
1511436379000,53.272,52.08941650390625|5.106441497802734,88526.452,9,72.8
1511436380000,53.272,52.08941650390625|5.106441497802734,88526.454,9,72.8
1511436381000,53.272,52.08946990966797|5.106433391571045,88526.457,9,72.8
1511436382000,53.272,52.08948516845703|5.10642147064209,88526.46,7,72.8
1511436383000,53.272,52.08948516845703|5.10642147064209,88526.461,5,72.8
1511436384000,53.272,52.08948516845703|5.10642147064209,88526.463,5,72.8
1511436385000,53.272,52.08953857421875|5.1063947677612305,88526.464,6,72.8
1511436386000,53.272,52.08953857421875|5.1063947677612305,88526.466,7,72.8
1511436387000,53.327,52.08953857421875|5.1063947677612305,88526.468,10,72.8
1511436388000,53.327,52.08956527709961|5.1063551902771,88526.471,13,72.8
1511436389000,53.327,52.08958435058594|5.1063432693481445,88526.475,16,72.8
1511436390000,53.327,52.08958435058594|5.1063432693481445,88526.48,18,72.8
1511436391000,53.327,52.089637756347656|5.106345176696777,88526.484,20,72.8
1511436392000,53.327,52.08967208862305|5.106365203857422,88526.491,23,72.8
1511436393000,53.327,52.08967208862305|5.106365203857422,88526.498,24,72.8
